Title,Director,Popularity
Circus World,"Hathaway, Henry",29
Affair in Trinidad,"Sherman, Vincent",49
Lady from Shanghai,"Welles, Orson",16
Lady in Question,"Vidor, Charles",57
Gilda,"Vidor, Charles",57
"Loves of Carmen, The","Vidor, Charles",48
Dick Tracy,"Beatty, Warren",84
Marnie,"Hitchcock, Alfred",2
Hot Child in the City,"Florea, John",0
Johnny Dangerously,"Heckerling, Amy",3
Stark,"Holcomb, Rod",27
Three Strange Loves,"Bergman, Ingmar",87
My Fair Lady,"Cukor, George",10
"Unforgiven, The","Huston, John",32
Robin & Marian,"Lester, Richard",6
"Children's Hour, The","Wyler, William",60
"Rainmaker, The","Anthony, Joseph",21
Pat & Mike,"Cukor, George",48
"Lion in Winter, THe","Harvey, Anthony",78
"Sea of Grass, The","Kazan, Elia",75
Guess Who's Coming to Dinner,"Kramer, Stanley",50
Desk Set,"Lang, Walter",51
Rooster Cogburn,"Miller, Stuart",76
On Golden Pond,"Rydell, Mark",23
Adam's Rib,,62
Boom Town,,73
Dragon Seed,,34
Little Women,,22
"Philadelphia Story, The",,25
Without Love,,66
Woman of the Year,,12
Juice,"Dickerson, Ernest R.",31
Hoosiers,"Anspaugh, David",2
Tin Men,"Levinson, Barry",50
"Last Temptation of Christ, The","Scorsese, Martin",32
Paris Trout,,53
Souvenir,"Reeve, Geoffrey",42
A Man for All Seasons,"Zinnemann, Fred",20
Knights & Emeralds,"Emes, Ian",
Masque of the Red Death,"Brand, Larry",9
"Adventures of Smilin' Jack, The","Taylor, Ray",77
Adventures in Dinosaur City,"Thompson, Brett",19
"Allnighter, The","Hoffs, Tamar Simon",71
Caddyshack,"Ramis, Harold",70
Tom Sawyer,"Taylor, Don",11
"Rita, Sue & Bob Too","Clarke, Alan",5
Hawk of Powder River,"Taylor, Ray",61
Tempest,"Taylor, Sam",33
Running Mates,"Neff, Thomas L.",63
Prettykill,"Kaczender, George",71
Judge Priest,"Ford, John",9
Harvey,"Koster, Henry",42
If Looks Could Kill,"Wilmington, Michael",10
Raising Arizona,"Coen, Joel",23
Once Around,"Hallström, Lasse",68
Loulou,"Pialat, Maurice",65
"World According to Garp, The","Hill, George Roy",59
Virus,"Fukasaku, Kinji",62
Northwest Passage,"Vidor, King",51
Gardens of Stone,"Coppola, Francis Ford",27
"Enemies, a Love Story","Mazursky, Paul",5
"Addams Family, The","Sonnenfeld, B.",8
Freaks,"Browning, Tod",61
Necessary Roughness,"Dragoti, Stan",60
A Show of Force,"Barreto, Bruno",1
"Competition, The","Oliansky, Joel",45
Crossing Delancey,"Silver, Joan Micklin",6
"State of Things, The","Wenders, Wim",73
Business As Usual,"Barrett, Lezli-An",17
A Touch of Class,"Frank, Melvin",79
Women in Love.,"Russell, Ken",18
Salome's Last Dance,"Russell, Ken",76
Casino,"Chaffey, Don",5
Smiles of a Summer Night,"Bergman, Ingmar",58
New Year's Day,"Jaglom, Henry",88
Mephisto,"Szabó, István",80
Easy Virtue,"Hitchcock, Alfred",45
Swing It Sailor!,,6
Strictly Business,"Hooks, Kevin",3
Blame It on Rio,"Donen, Stanley",10
Straight to Hell,"Cox, Alex",47
A View to a Kill,,44
American Anthem,"Magnoli, Albert",74
Bedtime Story,"Levy, Ralph",7
"Courtship of Eddie's Father, The",,43
"Night Train to Katmandu, THe","Wiemer, Robert",43
Port of Call,"Bergman, Ingmar",29
Paper Moon,"Bogdanovich, Peter",3
Yellowbeard,"Damski, Mel",34
Adventures of Sherlock Holmes' Smarter,"Wilder, Gene",42
Flashback,"Amurri, Franco",19
"World's Greatest Lover, The","Wilder, Gene",42
Killer's Kiss,"Kubrick, Stanley",66
"Deceivers, The","Meyer, Nicholas",14
Breathless,"McBride, Jim",51
Born on the Fourth of July,"Stone, Oliver",8
Awakenings,"Marshall, Penny",8
Annie Hall,"Allen, Woody",68
Manhattan,"Allen, Woody",82
Reds,"Beatty, Warren",76
Crimes of the Heart,"Beresford, Bruce",84
Looking for Mr. Goodbar,"Brooks, Richard",54
"Godfather, The","Coppola, Francis Ford",8
"Godfather, Pt 2., The","Coppola, Francis Ford",8
"I Will, I Will...For Now","Panama, Norman",6
"Play It Again, Sam","Ross, Herbert",81
Love & Death,,84
Sleeper,,59
Fellini Satyricon,"Fellini, Federico",88
"Formula, The","Avildsen, John G.",82
Black Sunday,"Frankenheimer, John",76
Bobby Deerfield,"Pollack, Sydney",36
Last of the Red Hot Lovers,"Saks, Gene",40
Mogambo,"Ford, John",71
To Catch a Thief,"Hitchcock, Alfred",69
Rear Window,"Hitchcock, Alfred",25
Woman Who Came Back,"Colmes, Walter",26
Stanley & Livingstone,"King, Henry",11
"Bad Seed, The","LeRoy, Mervyn",69
Lethal Weapon 2,"Donner, Richard",69
Blame It on the Bellboy,"Herman, Mark",69
"Drop Kick, The","Webb, Millard",
"Superman, The Movie","Donner, Richard",87
Superman IV: The Quest for Peace,"Furie, Sidney J.",77
Quackser Fortune Has a Cousin in the Bronx,"Waris, Hussein",49
Dead Calm,"Noyce, Phillip",1
Days of Thunder,"Scott, Tony",3
My Life As a Dog,"Hallström, Lasse",21
"Moon in the Gutter, The","Beineix, Jean-Jacques",29
"Paris, Texas","Wenders, Wim",27
Unfaithfully Yours,"Zieff, Howard",73
Bullseye!,"Winner, Michael",8
Erik the Viking,"Jones, Terry",25
Dragonard,"Kikoine, Gerard",71
Hard Choices,"King, Rick",41
"Rain People, The","Coppola, Francis Ford",78
A Year of the Quiet Sun,"Zanussi, Krzystoff",78
"Desert Trail, The","Collins, Lewis D.",50
Almost an Angel,"Cornell, John",14
Crocodile Dundee,"Faiman, Peter",66
"American Friend, The","Wenders, Wim",35
See You in the Morning,"Pakula, Alan J.",53
"Arrogant, The","Blot, Philippe",62
Dracula's Widow,"Coppola, Christopher",55
Ninja Masters of Death,"Lambert, Bruce",15
Mystery Train,"Jarmusch, Jim",23
Go Tell the Spartans,"Post, Ted",67
True Stories,"Byrne, David",79
Ugetsu Monogatari,"Mizoguchi, Kenji",82
Rebel Rousers,"Cohen, Martin B.",44
Plain Clothes,"Coolidge, Martha",4
"Whose Life Is It, Anyway?","Badham, John",62
Running on Empty,"Lumet, Sidney",2
Funny about Love,"Nimoy, Leonard",60
